month,hs_code,hs_desc,hhi,c3_share,supplier_count
2023-03-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.178028505604736,0.6128197534847212,37
2023-03-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1636849215615692,0.6033648589699059,66
2023-04-01,853400,PRINTED CIRCUITS,0.1683994631512091,0.6049829149762204,67
2023-04-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.14742711842404183,0.5917357098355114,82
2023-04-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.1853682487090105,0.6613799972489042,41
2023-04-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.15956734220590002,0.5792613058141562,39
2023-04-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1772593342283791,0.6230112157345359,72
2023-05-01,853400,PRINTED CIRCUITS,0.1623372785609564,0.6159957481498801,69
2023-05-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.141753206962248,0.5544045519572636,83
2023-05-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.22835989355475958,0.7458616706657035,44
2023-05-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.15347392619263242,0.5752251745686948,43
2023-05-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.17150415993485205,0.6224626848252779,74
2023-06-01,853400,PRINTED CIRCUITS,0.17048201696552687,0.6226193304870216,69
2023-06-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.14585845646362233,0.5399916698042734,83
2023-06-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2068408103958521,0.7290308349325012,49
2023-06-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.18335433732906706,0.6339973616252896,44
2023-06-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.15065340527686533,0.5920118042868416,75
2023-07-01,853400,PRINTED CIRCUITS,0.16361988933067315,0.6033093223330226,72
2023-07-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.17730673543974998,0.5865951006669876,87
2023-07-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2245725079765447,0.7736696423154069,51
2023-07-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.17719227528884005,0.6033662869003282,45
2023-07-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.16157166524212416,0.6028456667917246,79
2023-08-01,853400,PRINTED CIRCUITS,0.17223722460464166,0.5985739250090435,72
2023-08-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.1340030274511306,0.5231028216537527,88
2023-08-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.22231312100293332,0.7607237801019561,51
2023-08-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.15460587180040913,0.5924986393001779,47
2023-08-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.15059854878771883,0.6031354963483612,83
2023-09-01,853400,PRINTED CIRCUITS,0.15462471263309463,0.5690791666434813,74
2023-09-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.1763890546369769,0.6188091488033216,91
2023-09-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.23957837346188313,0.7481549120229906,51
2023-09-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.16586733755483085,0.5921047187028022,50
2023-09-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.17140060306956453,0.6241664069401915,85
2023-10-01,853400,PRINTED CIRCUITS,0.16677159517483903,0.6014830972112892,77
2023-10-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.16221885609448472,0.6239226934044403,91
2023-10-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.21946215019432033,0.6763115504319444,52
2023-10-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.16753481601702283,0.5869313501306641,53
2023-10-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.15207582438920425,0.5911856261376867,87
2023-11-01,853400,PRINTED CIRCUITS,0.16203807114276944,0.6004403584478446,78
2023-11-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.14953273062431383,0.5912469614344678,93
2023-11-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.23348168759627294,0.6772050149503829,52
2023-11-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.15720439551435916,0.5781969607789421,53
2023-11-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.14698898613337497,0.5908033559881564,89
2023-12-01,853400,PRINTED CIRCUITS,0.16532464944045744,0.6137524212302413,80
2023-12-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.23504696865460312,0.6810189584470635,93
2023-12-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.24573553031133286,0.7046876832333135,54
2023-12-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.15527208832716977,0.5884213659168174,54
2023-12-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.137808483733085,0.5819144167196897,92
2024-01-01,853400,PRINTED CIRCUITS,0.21761198801961062,0.7045076746579028,53
2024-01-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.16682424099235502,0.6424843646115851,54
2024-01-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.23041923351278243,0.7317040350129224,27
2024-01-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1930019073866952,0.6586635158005701,31
2024-01-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1692087704880773,0.6226459823021016,51
2024-02-01,853400,PRINTED CIRCUITS,0.18318728844565474,0.6463467407753772,60
2024-02-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.160375962723307,0.6543707176389598,59
2024-02-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.21538822803090396,0.7309101696966368,36
2024-02-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1607048341892991,0.5906482842670121,36
2024-02-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.15057663582547529,0.5873703292912136,56
2024-03-01,853400,PRINTED CIRCUITS,0.188676718264064,0.651367586631912,63
2024-03-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.1903046271225897,0.702477841341205,66
2024-03-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.22580671281334064,0.7184838595330528,41
2024-03-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.22634441842211522,0.7042256462302291,37
2024-03-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.14474687297777328,0.600760049123909,61
2024-04-01,853400,PRINTED CIRCUITS,0.19681996384571204,0.6644770725604433,72
2024-04-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.19596632847680734,0.6940563262122469,68
2024-04-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2494250753366871,0.774157417110392,44
2024-04-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1939592787327011,0.6609173796231959,40
2024-04-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.16206893242013556,0.568496841891401,64
2024-05-01,853400,PRINTED CIRCUITS,0.1826360387332113,0.6442857105610404,74
2024-05-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.18142743694095645,0.6825157173799636,71
2024-05-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2438743574304125,0.7653047581273541,44
2024-05-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.16235177810039497,0.5784284281368806,41
2024-05-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.14207367321632247,0.5831916693190278,67
2024-06-01,853400,PRINTED CIRCUITS,0.20840690505422188,0.6848572967819292,78
2024-06-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.17151938320783533,0.6751355653050536,74
2024-06-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.22909232783741362,0.7283622860424419,46
2024-06-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.18001076490568127,0.6402131462591368,43
2024-06-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1459172059466862,0.5967984876538553,71
2024-07-01,853400,PRINTED CIRCUITS,0.2113442198292904,0.6946686856775549,81
2024-07-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.21631845500932903,0.7181417934999126,77
2024-07-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.22893379817992307,0.7090419054510223,48
2024-07-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.18533570372170396,0.6424041673101675,46
2024-07-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.16521692476124406,0.6244210804134798,74
2024-08-01,853400,PRINTED CIRCUITS,0.19269518403515704,0.67469607432324,85
