NAICS,CTY_CODE,country,import_value,time,COMM_LVL,NAICS.1,month,total_import_value,country_share,country_share_ma3,share_volatility_12m,resilience_score,hhi,c5_share,supplier_count,import_price_index_overall,import_price_index_asian_nics,import_price_index_industrialized,domestic_producer_price_index
3344,6021,AUSTRALIA,3487150,2021-01-01,NA4,3344,2021-01-01,6472583060,0.0005387570878078466,0.0005387570878078466,,9994.612429121922,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4210,NETHERLANDS,3422396,2021-01-01,NA4,3344,2021-01-01,6472583060,0.0005287527356968363,0.0005287527356968363,,9994.71247264303,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,2110,EL SALVADOR,2521470,2021-01-01,NA4,3344,2021-01-01,6472583060,0.00038956162889317947,0.00038956162889317947,,9996.104383711068,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,3010,COLOMBIA,2471812,2021-01-01,NA4,3344,2021-01-01,6472583060,0.0003818895759369367,0.0003818895759369367,,9996.18110424063,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4850,ROMANIA,2469306,2021-01-01,NA4,3344,2021-01-01,6472583060,0.00038150240438938453,0.00038150240438938453,,9996.184975956106,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,3510,BRAZIL,2417078,2021-01-01,NA4,3344,2021-01-01,6472583060,0.00037343329202483807,0.00037343329202483807,,9996.265667079751,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4510,LITHUANIA,2237873,2021-01-01,NA4,3344,2021-01-01,6472583060,0.00034574650943142935,0.00034574650943142935,,9996.542534905686,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4890,TURKEY,2190233,2021-01-01,NA4,3344,2021-01-01,6472583060,0.00033838623308450833,0.00033838623308450833,,9996.616137669154,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,2470,DOMINICAN REPUBLIC,2014204,2021-01-01,NA4,3344,2021-01-01,6472583060,0.00031119013558089436,0.00031119013558089436,,9996.88809864419,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4710,PORTUGAL,1987032,2021-01-01,NA4,3344,2021-01-01,6472583060,0.0003069921207005724,0.0003069921207005724,,9996.930078792993,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4039,NORWAY,1690216,2021-01-01,NA4,3344,2021-01-01,6472583060,0.00026113469450015833,0.00026113469450015833,,9997.388653054997,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4840,GREECE,1452698,2021-01-01,NA4,3344,2021-01-01,6472583060,0.0002244386802816865,0.0002244386802816865,,9997.755613197183,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,2483,ST KITTS AND NEVIS,1414915,2021-01-01,NA4,3344,2021-01-01,6472583060,0.00021860128898832547,0.00021860128898832547,,9997.813987110116,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4621,RUSSIA,1173196,2021-01-01,NA4,3344,2021-01-01,6472583060,0.00018125622941021015,0.00018125622941021015,,9998.187437705898,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4791,CROATIA,814214,2021-01-01,NA4,3344,2021-01-01,6472583060,0.00012579429146792595,0.00012579429146792595,,9998.74205708532,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4792,SLOVENIA,743060,2021-01-01,NA4,3344,2021-01-01,6472583060,0.0001148011532817626,0.0001148011532817626,,9998.851988467182,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4870,BULGARIA,651967,2021-01-01,NA4,3344,2021-01-01,6472583060,0.00010072748297802454,0.00010072748297802454,,9998.99272517022,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4411,LIECHTENSTEIN,602837,2021-01-01,NA4,3344,2021-01-01,6472583060,9.313700487298189e-05,9.313700487298189e-05,,9999.068629951269,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,2720,BARBADOS,601438,2021-01-01,NA4,3344,2021-01-01,6472583060,9.292086241686638e-05,9.292086241686638e-05,,9999.07079137583,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4470,ESTONIA,580369,2021-01-01,NA4,3344,2021-01-01,6472583060,8.966574775789745e-05,8.966574775789745e-05,,9999.10334252242,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
